Name,Matches,Runs,Avg,StrikeRate,Fours,Sixers
,,11401,,,,
,,11315,,,,
,,11198,,,,
,,11196,,,,
,,11134,,,,
,,11132,,,,
,,11124,,,,
,,11119,,,,
,,11043,,,,
,,11039,,,,
,,11017,,,,
,,10950,,,,
,,10867,,,,
,,10859,,,,
,,10767,,,,
,,10506,,,,
,,10469,,,,
,,10376,,,,
,,10326,,,,
,,10324,,,,
,,10148,,,,
,,10028,,,,
,,,48.52,,,
,,,46.77,,,
,,,45.95,,,
,,,52.25,,,
,,,39.15,,,
,,,49.1,,,
,,,45.41,,,
,,,46.28,,,
,,,34.14,,,
,,,45.72,,,
,,,43.32,,,
,,,48.8,,,
,,,48.11,,,
,,,37.97,,,
,,,42.25,,,
,,,42.39,,,
,,,48.67,,,
,,,46.56,,,
,,,41.46,,,
,,,41.65,,,
,,,42.72,,,
,,,39.88,,,
,,,40.77,,,
,,,38.16,,,
,,,45.52,,,
,,,44.96,,,
,,,40.31,,,
,,,42.34,,,
,,,45.26,,,
,,,47.8,,,
,,,40.51,,,
,,,46.99,,,
,,,41.8,,,
,,,42.88,,,
,,,37.78,,,
,,,39.77,,,
,,,40.67,,,
,,,38.94,,,
,,,35.46,,,
,,,34.15,,,
,,,48.75,,,
,,,35.21,,,
,,,47.67,,,
,,,33.86,,,
,,,34.37,,,
,,,37.3,,,
,,,46.25,,,
,,,43.07,,,
,,,38.03,,,
,,,44.07,,,
,,,35.9,,,
,,,40.44,,,
,,,40.27,,,
,,,46.2,,,
,,,40.58,,,
,,,36.29,,,
,,,36.96,,,
,,,41,,,
,,,32.51,,,
,,,44.84,,,
,,,40.17,,,
,,,35.78,,,
,,,49,,,
,,,37.99,,,
,,,40.48,,,
,,,33.9,,,
,,,35.63,,,
,,,35.05,,,
,,,37.11,,,
,,,40.63,,,
,,,36,,,
,,,35.89,,,
,,,39.44,,,
,,,38.48,,,
,,,42.57,,,
,,,23.92,,,
,,,32.27,,,
,,,44.35,,,
,,,34.98,,,
,,,41.64,,,
,,,31.91,,,
,,,39.14,,,
,,,33.38,,,
,,,36.74,,,
,,,39.66,,,
,,,35.6,,,
,,,35.89,,,
,,,35.73,,,
,,,29,,,
,,,39.3,,,
,,,40.97,,,
,,,38.95,,,
,,,41.93,,,
,,,32.03,,,
,,,,67.58*,,
,,,,66.56,,
,,,,68.48,,
,,,,79.15,,
,,,,64.73,,
,,,,56.3,,
,,,,51.98,,
,,,,68.08,,
,,,,81.17,,
,,,,52.27,,
,,,,63.96,,
,,,,66.29,,
,,,,74.71,,
,,,,77.22,,
,,,,87.16,,
,,,,86.56,,
,,,,65.97,,
,,,,65.01,,
,,,,62.99,,
,,,,57.03,,
,,,,73.24,,
,,,,60.57,,
,,,,48.76*,,
,,,,80.76,,
,,,,63.23,,
,,,,79.07,,
,,,,92.55,,
,,,,69.1,,
,,,,65.73,,
,,,,64.18,,
,,,,62.57,,
,,,,54.83*,,
,,,,53.31*,,
,,,,51.14,,
,,,,66.21*,,
,,,,66.92*,,
,,,,61.58,,
,,,,91.43,,
,,,,56.78,,
,,,,65.18,,
,,,,78.69*,,
,,,,72.62,,
,,,,67.46,,
,,,,78.7,,
,,,,82.11,,
,,,,65.71,,
,,,,80.94,,
,,,,53.72,,
